"","speed","X.break","Y.break","Type"
"4844",94.1,3.07,11.28,"FF"
"6022",92.9,1.84,12.55,"FF"
"708",91.9,1.71,11.64,"FF"
"4029",93.4,0.91,12.88,"FF"
"3327",93.6,1.04,12.59,"FF"
"1823",92.8,0.27,10.47,"FF"
"5177",94.1,0.2,8.74,"FF"
"561",92,-0.49,13.48,"FF"
"2726",91.2,0.18,11.33,"FF"
"3177",93,-1.59,12.38,"FF"
"8200",93.8,-0.901064954101062,12.4120871787112,"FF"
"4443",94.4,1.77,9.96,"FF"
"3233",73.2,-0.6,-7.7,"CU"
"9165",73.2,-0.817339141100281,-12.2619377705137,"CU"
"9534",92.5,2.18363766727148,12.8199077875109,"FF"
"5313",93.9,0.94,12.37,"FF"
"3655",93,-1.21,11.85,"FF"
"6767",74.1,-4.25,-9.73,"CU"
"6389",93.7,-0.33,11.9,"FF"
"7693",92.9,0.37,16.17,"FF"
"1672",73.7,-4.44,-8.29,"CU"
"759",92.9,3.21,11.92,"FF"
"4948",92.8,0.09,10.31,"FF"
"6959",73,-2.45,-10.48,"CU"
"7592",92.8,-0.3,11.56,"FF"
"742",73.6,-3.25,-8.08,"CU"
"1292",90.6,2.15,13.65,"FF"
"372",72.8,-4.01,-11.75,"CU"
"7079",92,2.58,14.05,"FF"
"7307",93.1,-1.25,11.46,"FF"
"9650",92.6,1.81907960229456,10.1737256904578,"FF"
"5362",93.6,0.23,9.27,"FF"
"1822",74,-2.16,-6.64,"CU"
"2188",93,1.72,8.25,"FF"
"319",92.2,2.92,15.03,"FF"
"3504",93.3,-0.27,11.5,"FF"
"8414",93.1,-1.56846739584124,13.5271069008569,"FF"
"1230",91.4,2.39,12.62,"FF"
"6333",92,2.37,10.34,"FF"
"7527",93.7,2.03,11.48,"FF"
"3373",72.6,-3.2,-10.05,"CU"
"9031",73.8,0.0118223811467338,-5.70775684999354,"CU"
"9107",93.4,-0.331239451053539,13.7463555648344,"FF"
"9549",75.1,2.20514059864331,-5.45343143956121,"CU"
"5730",71.8,-0.65,-9.13,"CU"
"854",91.2,0.45,10.37,"FF"
"9515",91.4,0.767115095366525,14.4473879125413,"FF"
